Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping_Days,Profit_Margin,Order_Year,Order_Month,High_Discount
40,CA-2015-117415,2015-12-27,2015-12-31,standard class,SN-20710,Steve Nguyen,home office,united states,houston,texas,77041,central,FUR-CH-10004218,furniture,chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,4,-0.07142857142857144,2015,12,yes
41,CA-2015-117415,2015-12-27,2015-12-31,standard class,SN-20710,Steve Nguyen,home office,united states,houston,texas,77041,central,TEC-PH-10000486,technology,phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,4,0.1125,2015,12,no
42,CA-2017-120999,2017-09-10,2017-09-15,standard class,LC-16930,Linda Cazamias,corporate,united states,naperville,illinois,60540,central,TEC-PH-10004093,technology,phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,5,0.11249999999999999,2017,9,no
43,CA-2016-101343,2016-07-17,2016-07-22,standard class,RA-19885,Ruben Ausman,corporate,united states,los angeles,california,90049,west,OFF-ST-10003479,office supplies,storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,5,0.05,2016,7,no
44,CA-2017-139619,2017-09-19,2017-09-23,standard class,ES-14080,Erin Smith,corporate,united states,melbourne,florida,32935,south,OFF-ST-10003282,office supplies,storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,4,0.1,2017,9,no
45,CA-2016-118255,2016-03-11,2016-03-13,first class,ON-18715,Odella Nelson,corporate,united states,eagan,minnesota,55122,central,TEC-AC-10000171,technology,accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,2,0.43000000000000005,2016,3,no
46,CA-2016-118255,2016-03-11,2016-03-13,first class,ON-18715,Odella Nelson,corporate,united states,eagan,minnesota,55122,central,OFF-BI-10003291,office supplies,binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,2,0.47000000000000003,2016,3,no
47,CA-2014-146703,2014-10-20,2014-10-25,second class,PO-18865,Patrick O'Donnell,consumer,united states,westland,michigan,48185,central,OFF-ST-10001713,office supplies,storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,5,0.04,2014,10,no
48,CA-2016-169194,2016-06-20,2016-06-25,standard class,LH-16900,Lena Hernandez,consumer,united states,dover,delaware,19901,east,TEC-AC-10002167,technology,accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,5,0.11,2016,6,no
49,CA-2016-169194,2016-06-20,2016-06-25,standard class,LH-16900,Lena Hernandez,consumer,united states,dover,delaware,19901,east,TEC-PH-10003988,technology,phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,5,0.27999999999999997,2016,6,no
50,CA-2015-115742,2015-04-18,2015-04-22,standard class,DP-13000,Darren Powers,consumer,united states,new albany,indiana,47150,central,OFF-BI-10004410,office supplies,binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,4,0.47000000000000003,2015,4,no
51,CA-2015-115742,2015-04-18,2015-04-22,standard class,DP-13000,Darren Powers,consumer,united states,new albany,indiana,47150,central,OFF-LA-10002762,office supplies,labels,Avery 485,75.18,6,0.0,35.3346,4,0.47,2015,4,no
52,CA-2015-115742,2015-04-18,2015-04-22,standard class,DP-13000,Darren Powers,consumer,united states,new albany,indiana,47150,central,FUR-FU-10001706,furniture,furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,4,0.48,2015,4,no
53,CA-2015-115742,2015-04-18,2015-04-22,standard class,DP-13000,Darren Powers,consumer,united states,new albany,indiana,47150,central,FUR-CH-10003061,furniture,chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,4,0.19,2015,4,no
54,CA-2016-105816,2016-12-11,2016-12-17,standard class,JM-15265,Janet Molinari,corporate,united states,new york city,new york,10024,east,OFF-FA-10000304,office supplies,fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,6,0.41,2016,12,no
55,CA-2016-105816,2016-12-11,2016-12-17,standard class,JM-15265,Janet Molinari,corporate,united states,new york city,new york,10024,east,TEC-PH-10002447,technology,phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,6,0.29,2016,12,no
56,CA-2016-111682,2016-06-17,2016-06-18,first class,TB-21055,Ted Butterfield,consumer,united states,troy,new york,12180,east,OFF-ST-10000604,office supplies,storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,1,0.25,2016,6,no
57,CA-2016-111682,2016-06-17,2016-06-18,first class,TB-21055,Ted Butterfield,consumer,united states,troy,new york,12180,east,OFF-PA-10001569,office supplies,paper,Xerox 232,32.4,5,0.0,15.552,1,0.48,2016,6,no
58,CA-2016-111682,2016-06-17,2016-06-18,first class,TB-21055,Ted Butterfield,consumer,united states,troy,new york,12180,east,FUR-CH-10003968,furniture,chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,1,0.02222222222222222,2016,6,no
59,CA-2016-111682,2016-06-17,2016-06-18,first class,TB-21055,Ted Butterfield,consumer,united states,troy,new york,12180,east,OFF-PA-10000587,office supplies,paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,1,0.48,2016,6,no
60,CA-2016-111682,2016-06-17,2016-06-18,first class,TB-21055,Ted Butterfield,consumer,united states,troy,new york,12180,east,TEC-AC-10002167,technology,accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,1,0.11,2016,6,no
61,CA-2016-111682,2016-06-17,2016-06-18,first class,TB-21055,Ted Butterfield,consumer,united states,troy,new york,12180,east,OFF-BI-10001460,office supplies,binders,Plastic Binding Combs,48.48,4,0.2,16.362,1,0.33749999999999997,2016,6,no
62,CA-2016-111682,2016-06-17,2016-06-18,first class,TB-21055,Ted Butterfield,consumer,united states,troy,new york,12180,east,OFF-AR-10001868,office supplies,art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,1,0.5,2016,6,no
63,CA-2015-135545,2015-11-24,2015-11-30,standard class,KM-16720,Kunst Miller,consumer,united states,los angeles,california,90004,west,TEC-AC-10004633,technology,accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,6,0.44,2015,11,no
64,CA-2015-135545,2015-11-24,2015-11-30,standard class,KM-16720,Kunst Miller,consumer,united states,los angeles,california,90004,west,OFF-BI-10001078,office supplies,binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,6,0.3625,2015,11,no
65,CA-2015-135545,2015-11-24,2015-11-30,standard class,KM-16720,Kunst Miller,consumer,united states,los angeles,california,90004,west,OFF-PA-10003892,office supplies,paper,Xerox 1943,146.73,3,0.0,68.9631,6,0.47000000000000003,2015,11,no
66,CA-2015-135545,2015-11-24,2015-11-30,standard class,KM-16720,Kunst Miller,consumer,united states,los angeles,california,90004,west,FUR-FU-10000397,furniture,furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,6,0.27999999999999997,2015,11,no
67,US-2015-164175,2015-04-30,2015-05-05,standard class,PS-18970,Paul Stevenson,home office,united states,chicago,illinois,60610,central,FUR-CH-10001146,furniture,chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,5,-0.07142857142857142,2015,4,yes
68,CA-2014-106376,2014-12-05,2014-12-10,standard class,BS-11590,Brendan Sweed,corporate,united states,gilbert,arizona,85234,west,OFF-AR-10002671,office supplies,art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,5,0.10000000000000002,2014,12,no
69,CA-2014-106376,2014-12-05,2014-12-10,standard class,BS-11590,Brendan Sweed,corporate,united states,gilbert,arizona,85234,west,TEC-PH-10002726,technology,phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,5,0.375,2014,12,no
70,CA-2016-119823,2016-06-04,2016-06-06,first class,KD-16270,Karen Daniels,consumer,united states,springfield,virginia,22153,south,OFF-PA-10000482,office supplies,paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,2,0.4700000000000001,2016,6,no
71,CA-2016-106075,2016-09-18,2016-09-23,standard class,HM-14980,Henry MacAllister,consumer,united states,new york city,new york,10009,east,OFF-BI-10004654,office supplies,binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,5,0.37500000000000006,2016,9,no
72,CA-2017-114440,2017-09-14,2017-09-17,second class,TB-21520,Tracy Blumstein,consumer,united states,jackson,michigan,49201,central,OFF-PA-10004675,office supplies,paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,3,0.45999999999999996,2017,9,no
73,US-2015-134026,2015-04-26,2015-05-02,standard class,JE-15745,Joel Eaton,consumer,united states,memphis,tennessee,38109,south,FUR-CH-10000513,furniture,chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,6,-0.13749999999999998,2015,4,no
74,US-2015-134026,2015-04-26,2015-05-02,standard class,JE-15745,Joel Eaton,consumer,united states,memphis,tennessee,38109,south,FUR-FU-10003708,furniture,furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,6,0.0125,2015,4,no
75,US-2015-134026,2015-04-26,2015-05-02,standard class,JE-15745,Joel Eaton,consumer,united states,memphis,tennessee,38109,south,OFF-ST-10004123,office supplies,storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,6,-0.25,2015,4,no
76,US-2017-118038,2017-12-09,2017-12-11,first class,KB-16600,Ken Brennan,corporate,united states,houston,texas,77041,central,OFF-BI-10004182,office supplies,binders,Economy Binders,1.248,3,0.8,-1.9344,2,-1.5499999999999998,2017,12,yes
77,US-2017-118038,2017-12-09,2017-12-11,first class,KB-16600,Ken Brennan,corporate,united states,houston,texas,77041,central,FUR-FU-10000260,furniture,furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,2,-0.6,2017,12,yes
78,US-2017-118038,2017-12-09,2017-12-11,first class,KB-16600,Ken Brennan,corporate,united states,houston,texas,77041,central,OFF-ST-10000615,office supplies,storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,2,0.10000000000000002,2017,12,no
79,US-2014-147606,2014-11-26,2014-12-01,second class,JE-15745,Joel Eaton,consumer,united states,houston,texas,77070,central,FUR-FU-10003194,furniture,furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,5,-0.75,2014,11,yes
80,CA-2016-127208,2016-06-12,2016-06-15,first class,SC-20770,Stewart Carmichael,corporate,united states,decatur,alabama,35601,south,OFF-AP-10002118,office supplies,appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,3,0.27,2016,6,no
81,CA-2016-127208,2016-06-12,2016-06-15,first class,SC-20770,Stewart Carmichael,corporate,united states,decatur,alabama,35601,south,OFF-BI-10002309,office supplies,binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,3,0.48000000000000004,2016,6,no
82,CA-2014-139451,2014-10-12,2014-10-16,standard class,DN-13690,Duane Noonan,consumer,united states,san francisco,california,94122,west,OFF-AR-10002053,office supplies,art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,4,0.27999999999999997,2014,10,no
83,CA-2014-139451,2014-10-12,2014-10-16,standard class,DN-13690,Duane Noonan,consumer,united states,san francisco,california,94122,west,OFF-ST-10002370,office supplies,storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031,4,0.29,2014,10,no
84,CA-2015-149734,2015-09-03,2015-09-08,standard class,JC-16105,Julie Creighton,corporate,united states,durham,north carolina,27707,south,OFF-EN-10000927,office supplies,envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,5,0.3125,2015,9,no
85,US-2017-119662,2017-11-13,2017-11-16,first class,CS-12400,Christopher Schild,home office,united states,chicago,illinois,60623,central,OFF-ST-10003656,office supplies,storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,3,-0.2125,2017,11,no
86,CA-2017-140088,2017-05-28,2017-05-30,second class,PO-18865,Patrick O'Donnell,consumer,united states,columbia,south carolina,29203,south,FUR-CH-10000863,furniture,chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,2,0.11000000000000001,2017,5,no
87,CA-2017-155558,2017-10-26,2017-11-02,standard class,PG-18895,Paul Gonzalez,consumer,united states,rochester,minnesota,55901,central,TEC-AC-10001998,technology,accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,7,0.34,2017,10,no
88,CA-2017-155558,2017-10-26,2017-11-02,standard class,PG-18895,Paul Gonzalez,consumer,united states,rochester,minnesota,55901,central,OFF-LA-10000134,office supplies,labels,Avery 511,6.16,2,0.0,2.9568,7,0.48,2017,10,no
89,CA-2016-159695,2016-04-05,2016-04-10,second class,GM-14455,Gary Mitchum,home office,united states,houston,texas,77095,central,OFF-ST-10003442,office supplies,storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,5,0.08750000000000001,2016,4,no
90,CA-2016-109806,2016-09-17,2016-09-22,standard class,JS-15685,Jim Sink,corporate,united states,los angeles,california,90036,west,OFF-AR-10004930,office supplies,art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,5,0.32999999999999996,2016,9,no
91,CA-2016-109806,2016-09-17,2016-09-22,standard class,JS-15685,Jim Sink,corporate,united states,los angeles,california,90036,west,TEC-PH-10004093,technology,phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,5,0.11249999999999999,2016,9,no
92,CA-2016-109806,2016-09-17,2016-09-22,standard class,JS-15685,Jim Sink,corporate,united states,los angeles,california,90036,west,OFF-PA-10000304,office supplies,paper,Xerox 1995,6.48,1,0.0,3.1104,5,0.4799999999999999,2016,9,no
93,CA-2015-149587,2015-01-31,2015-02-05,second class,KB-16315,Karl Braun,consumer,united states,minneapolis,minnesota,55407,central,OFF-PA-10003177,office supplies,paper,Xerox 1999,12.96,2,0.0,6.2208,5,0.4799999999999999,2015,1,no
94,CA-2015-149587,2015-01-31,2015-02-05,second class,KB-16315,Karl Braun,consumer,united states,minneapolis,minnesota,55407,central,FUR-FU-10003799,furniture,furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354,5,0.30999999999999994,2015,1,no
95,CA-2015-149587,2015-01-31,2015-02-05,second class,KB-16315,Karl Braun,consumer,united states,minneapolis,minnesota,55407,central,OFF-BI-10002852,office supplies,binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504,5,0.49000000000000005,2015,1,no
96,US-2017-109484,2017-11-06,2017-11-12,standard class,RB-19705,Roger Barcio,home office,united states,portland,oregon,97206,west,OFF-BI-10004738,office supplies,binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,6,-0.6666666666666666,2017,11,yes
97,CA-2017-161018,2017-11-09,2017-11-11,second class,PN-18775,Parhena Norris,home office,united states,new york city,new york,10009,east,FUR-FU-10000629,furniture,furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,2,0.42,2017,11,no
98,CA-2017-157833,2017-06-17,2017-06-20,first class,KD-16345,Katherine Ducich,consumer,united states,san francisco,california,94122,west,OFF-BI-10001721,office supplies,binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,3,0.35,2017,6,no
99,CA-2016-149223,2016-09-06,2016-09-11,standard class,ER-13855,Elpida Rittenbach,corporate,united states,saint paul,minnesota,55106,central,OFF-AP-10000358,office supplies,appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,5,0.29000000000000004,2016,9,no
100,CA-2016-158568,2016-08-29,2016-09-02,standard class,RB-19465,Rick Bensley,home office,united states,chicago,illinois,60610,central,OFF-PA-10003256,office supplies,paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,4,0.35000000000000003,2016,8,no
101,CA-2016-158568,2016-08-29,2016-09-02,standard class,RB-19465,Rick Bensley,home office,united states,chicago,illinois,60610,central,TEC-AC-10001767,technology,accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,4,-0.1125,2016,8,no
